No,Brand,Nama barang,Isi per Dus,Isi per Kotak,Harga
176,ONDA,FLS 13 ONDA PVC,80,1,35250
177,ONDA,"FLS 16 2"" ONDA",120,12,109750
178,ONDA,"FLS 16 3"" ONDA",96,12,166500
179,ONDA,"FLS 16 4"" ONDA",48,8,248250
180,ONDA,FLS 21 GKU ONDA,24,1,233500
181,ONDA,"GATE VALVE ONDA 1/2""",100,10,86750
182,ONDA,"GATE VALVE ONDA 3/4""",60,5,129000
183,ONDA,"GATE VALVE ONDA 1""",40,5,230000
184,ONDA,"GATE VALVE ONDA 1-1/4""",30,5,340500
185,ONDA,"GATE VALVE ONDA 1-1/2""",24,4,444500
186,ONDA,"GATE VALVE ONDA 2""",16,2,634500
187,ONDA,"GATE VALVE ONDA 2-1/2""",8,2,1344250
188,ONDA,"GATE VALVE ONDA 3""",6,2,1841750
189,ONDA,"GATE VALVE ONDA 4""",2,1,3469500
190,ONDA,"GATE VALVE PERRUNO 1/2""",120,,53250
191,ONDA,"GATE VALVE PERRUNO 3/4""",72,,72250
192,ONDA,"GATE VALVE PERRUNO 1""",48,,110500
193,ONDA,"GATE VALVE PERRUNO 1-1/4""",30,,177000
194,ONDA,"GATE VALVE PERRUNO 1-1/2""",24,,235250
195,ONDA,"GATE VALVE PERRUNO 2""",16,,339500
196,ONDA,"GATE VALVE PERRUNO 2-1/2""",8,,571000
197,ONDA,"GATE VALVE PERRUNO 3""",6,,1005750
198,ONDA,"GATE VALVE PERRUNO 4""",2,,1633500
199,ONDA,"H 818 BU ONDA 1/2"" (SET)",,,219500
200,ONDA,"HC ONDA 1""",360,60,31500
201,ONDA,"HOSE COUPLER ONDA 1/2"" X 1/2""",600,50,25750
202,ONDA,"HOSE COUPLER ONDA 1/2"" X 3/8""",500,50,25750
203,ONDA,"HOSE COUPLER ONDA 1/2"" X 5/8""",500,50,26500
204,ONDA,"HOSE COUPLER ONDA 3/4"" X 1/2""",500,50,31500
205,ONDA,"HOSE COUPLER ONDA 3/4"" X 3/4""",400,50,35500
206,ONDA,"HOSE COUPLER ONDA 3/4"" X 3/8""",400,50,31500
207,ONDA,"HOSE COUPLER ONDA 3/4"" X 5/8""",300,50,34250
208,ONDA,"HWF 1/2"" X 1/2"" ONDA 30CM",120,15,48500
209,ONDA,"HWF 1/2"" X 1/2"" ONDA 35CM",120,15,57500
210,ONDA,"HWF 1/2"" X 1/2"" ONDA 40CM",120,15,61250
211,ONDA,"HWF 1/2"" X 1/2"" ONDA 45CM",120,15,66750
212,ONDA,"HWF 1/2"" X 1/2"" ONDA 50CM",120,15,70500
213,ONDA,"HWF 1/2"" X 1/2"" ONDA 60CM",120,15,78000
214,ONDA,"JF 03 TA ONDA 1/2"" (ANGLE VALVE)",280,14,53500
215,ONDA,"JF 04 BA ONDA 1/2"" (ANGLE VALVE)",144,12,98000
216,ONDA,"JF 05 GA ONDA 1/2"" (ANGLE VALVE)",144,12,98750
217,ONDA,"JF 06 FA ONDA 1/2"" (ANGLE VALVE)",144,0,89250
218,ONDA,"JF 07 CA ONDA 1/2"" (ANGLE VALVE)",120,12,87750
219,ONDA,"JF 08 ST ONDA 1/2"" (ANGLE VALVE)",168,14,85000
220,ONDA,JF 09 LA ONDA,160,8,90750
221,ONDA,JF 10 GA ONDA,160,8,89000
222,ONDA,JF 11 BA ONDA,160,8,93500
223,ONDA,JF 12 LO ONDA,160,8,91750
224,ONDA,JF 13 TB ONDA,280,8,101250
225,ONDA,JF 14 BB ONDA,160,8,98000
226,ONDA,"JF 23 GWC ONDA 1/2""",72,6,101250
227,ONDA,"JF 30 GKU ONDA 1/2""",144,12,73250
228,ONDA,"JF 31 GKU ONDA 1/2""",60,12,133750
229,ONDA,K 306 CB ONDA,20,2,260500
230,ONDA,K 404 CT ONDA,24,2,406250
231,ONDA,K 404 SW,12,1,584250
232,ONDA,K 405 GWC ONDA,12,1,846000
233,ONDA,K 406 CTG ONDA,60,5,152250
234,ONDA,K 407 MH ONDA,60,5,149250
235,ONDA,K 409 GWC ONDA,36,3,175500
236,ONDA,"K 410 GKU ONDA 1/2""",36,3,225250
237,ONDA,"K 412 GKU ONDA 1/2""",8,1,636750
238,ONDA,"KUBC ONDA 1/2""",240,12,45500
239,ONDA,"KUBC ONDA 3/4""",120,10,89000
240,ONDA,"KUBM ONDA 1/2""",240,12,35250
241,ONDA,"MALE ELBOW ONDA 1/2"" (ART 6044)",120,12,46500
242,ONDA,"MALE ELBOW ONDA 3/4"" (ART 6044)",100,10,75500
243,ONDA,"MALE ELBOW ONDA 1""",60,6,130500
244,ONDA,"MALE TEE ONDA 1/2""(ART 6024)",120,12,75750
245,ONDA,"MALE TEE ONDA 3/4"" (ART 6024)",100,10,123500
246,ONDA,"MALE TEE ONDA 1""",60,6,206750
247,ONDA,"MALE UNION ONDA 1/2"" (ART 6064)",120,12,34500
248,ONDA,"MALE UNION ONDA 3/4"" (ART 6064)",,,58250
249,ONDA,"MALE UNION ONDA 1""",,,102250
250,ONDA,"MALE UNION ONDA S1620 X 1/2""",,,36750
251,ONDA,"MALE UNION ONDA S1216 X 3/4""",,,45000
252,ONDA,MT 01 5MTR ONDA,120,10,37750
253,ONDA,MT 02 3MTR ONDA,120,10,30250
254,ONDA,MT 03 5MTR ONDA,100,10,39000
255,ONDA,MT 12 5MTR ONDA,100,10,38500
256,ONDA,MT 13 5MTR ONDA,100,10,43500
257,ONDA,MT 20 5MTR ONDA,100,10,42750
258,ONDA,MT 21 5MTR ONDA,100,10,46250
259,ONDA,MT 22 7,5 MTR ONDA,36,6,96750
260,ONDA,MT 23 5 MTR ONDA (MT GOLD),60,6,59000
261,ONDA,"NBC ONDA 1/2""",120,12,52000
262,ONDA,NOZZLE ONDA,100,1,86500
263,ONDA,PEX CUTTER ONDA,50,10,165500
264,ONDA,"PEX-AL-PEX ONDA @ 50METER 1/2""",1,,1232500
265,ONDA,"PEX-AL-PEX ONDA @ 50METER 3/4""",1,,1957000
266,ONDA,"PEX-AL-PEX ONDA @ 50METER 1""",1,,3244500
267,ONDA,"PLUG KRAN ONDA 1/2"" MINI",,,58250
268,ONDA,"PLUG KRAN ONDA 1/2"" STD",,,91250
269,ONDA,"PLUG KRAN ONDA 3/4"" STD",,,183500
270,ONDA,"PLUG KRAN PERRUNO 1/2"" STD",,,51750
271,ONDA,"PT 01 GKU ONDA 1/2""",,,378750
272,ONDA,"PVAG ONDA 1/2""",100,25,19000
273,ONDA,"PVAG ONDA 3/4""",100,25,27500
274,ONDA,"PVAG ONDA 1""",80,20,41500
275,ONDA,"PVAG ONDA 1-1/4""",72,18,64000
276,ONDA,"PVAG ONDA 1-1/2""",48,12,81000
277,ONDA,"PVAG ONDA 2""",32,1,116750
278,ONDA,"PVBG ONDA 1/2""",100,25,19000
279,ONDA,"PVBG ONDA 3/4""",100,25,27500
280,ONDA,"PVBG ONDA 1""",80,20,41500
281,ONDA,"PVBG ONDA 1-1/4""",72,18,64000
282,ONDA,"PVBG ONDA 1-1/2""",48,12,81000
283,ONDA,"PVBG ONDA 2""",32,1,116750
284,ONDA,"PVC WM ONDA 1/2"" (WATER MOOR)",320,80,15250
285,ONDA,"PVC WM ONDA 3/4"" (WATER MOOR)",196,49,21500
286,ONDA,"PVC WM ONDA 1"" (WATER MOOR)",126,42,27000
287,ONDA,"PVC WM ONDA 1-1/4"" (WATER MOOR)",64,16,40250
288,ONDA,"PVC WM ONDA 1-1/2"" (WATER MOOR)",48,12,58250
289,ONDA,"PVC WM ONDA 2"" (WATER MOOR)",32,8,104500
290,ONDA,"PVCBV ONDA 1/2""",208,1,19750
291,ONDA,"PVCBV ONDA 3/4""",160,1,29000
292,ONDA,"PVCBV ONDA 1""",108,1,35500
293,ONDA,"PVCBV ONDA 1-1/4""",72,1,54000
294,ONDA,"PVCBV ONDA 1-1/2""",48,1,98000
295,ONDA,"PVCBV ONDA 2""",32,1,105250
296,ONDA,"PVCBV ONDA 2-1/2""",8,1,313000
297,ONDA,"PVCBV ONDA 3""",4,1,415000
298,ONDA,"PVCBV ONDA 4""",2,1,693000
299,ONDA,"PVCBV ONDA 5""",2,1,1701250
300,ONDA,"PVCBV ONDA 6""",1,1,2383750
301,ONDA,"PVCBV WM ONDA 1/2""",120,1,26750
302,ONDA,"PVCBV WM ONDA 3/4""",96,1,45500
303,ONDA,"PVCBV WM ONDA 1""",32,1,59000
304,ONDA,"QC ONDA 1"" (QUICK COUPLER)",96,8,141500
305,ONDA,ROOF DRAIN ONDA (RFS 01) BRASS,,,332500
306,ONDA,ROOF DRAIN ONDA (RFS 02) IRON,,,243250
307,ONDA,S 39 BCS,32,,234750
308,ONDA,S 39 NCS,32,,234750
309,ONDA,S 39 WCS,32,,223000
310,ONDA,S 49 CCS,32,,264000
311,ONDA,S 75 BCS,36,,124750
312,ONDA,S 75 BJS,36,,124750
313,ONDA,S 75 CCS,36,,138250
314,ONDA,S 75 GCS,36,,124750
315,ONDA,S 75 HCS,36,,124750
316,ONDA,S 75 HJS,36,,124750
317,ONDA,S 75 LCS,36,,124750
318,ONDA,S 75 MCS,36,,124750
319,ONDA,S 75 MJS,36,,124750
320,ONDA,S 75 NCS,36,,124750
321,ONDA,S 75 PCS,36,,124750
322,ONDA,S 75 SCS,36,,124750
323,ONDA,S 75 TCS,36,,124750
324,ONDA,S 75 WCS,36,,124750
325,ONDA,S 75 ZCS,36,,124750
326,ONDA,S 88 CCS,36,,129750
327,ONDA,"SEAL TAPE PERRUNO 1/2"" 10M",,,2352
328,ONDA,"SEAL TAPE ONDA 1/2"" 10M (ST 01) (R)",720,72,4580
329,ONDA,"SEAL TAPE ONDA 1"" 10M (ST 02) (R)",600,60,10750
330,ONDA,SHOWER HOSE FCHS ONDA 1/2-100CM,60,,81500
331,ONDA,SHOWER HOSE FCHS ONDA 1/2-120CM,60,,93500
332,ONDA,SHOWER HOSE FCHS ONDA 1/2-130CM,50,,101250
333,ONDA,SHOWER HOSE FCHS ONDA 1/2-140CM,50,,103500
334,ONDA,SHOWER HOSE FCHS ONDA 1/2-150CM,50,,104500
335,ONDA,SHOWER SW 01 ONDA (HEAD) + BRACKET,24,,84750
336,ONDA,SHOWER SW 02 ONDA (HEAD) + BRACKET,24,,120500
337,ONDA,SHOWER SW 05 ONDA (HEAD),24,,123250
338,ONDA,SHOWER SW 06 ONDA (HEAD),48,,127250
339,ONDA,SHOWER SW 07 ONDA (HEAD),48,,73750
340,ONDA,SO 230 ONDA,28,,174250
341,ONDA,SO 232 PB ONDA,36,,158500
342,ONDA,SO 232 PG ONDA,36,,158500
343,ONDA,SO 232 PL ONDA,36,,158500
344,ONDA,SO 232 PN ONDA,36,,158500
345,ONDA,SO 232 PP ONDA,36,,158500
346,ONDA,SO 232 PW ONDA,36,,158500
347,ONDA,SO 244 PC ONDA,36,,163000
348,ONDA,SO 250 ONDA,28,,196500
349,ONDA,SO 255 PW ONDA,36,,121250
350,ONDA,SO PREZ,24,,274500
351,ONDA,SO RS ONDA,24,,231250
352,ONDA,SO SS ONDA,24,,321500
353,ONDA,SOAP DISPENSER ONDA OSD 01,48,,91500
354,ONDA,"SOCKET BRASS CHROME ONDA 1/2""",540,60,35250
355,ONDA,"STRAIGHT EQUAL ELBOW ONDA 1/2"" (ART 6048)",120,12,71000
356,ONDA,"STRAIGHT EQUAL ELBOW ONDA 3/4""",,,97250
357,ONDA,"STRAIGHT EQUAL ELBOW ONDA 1""",,,176500
358,ONDA,"STRAIGHT EQUAL TEE ONDA 1/2"" ONDA (6027)",120,12,89250
359,ONDA,"STRAIGHT EQUAL TEE ONDA 3/4"" ONDA (6027)",,,144000
360,ONDA,"STRAIGHT EQUAL TEE ONDA 1""",,,242500
361,ONDA,"STRAIGHT EQUAL UNION ONDA 1/2"" (26068)",120,12,53250
362,ONDA,"STRAIGHT EQUAL UNION ONDA 3/4"" (26068)",,,91500
363,ONDA,"STRAIGHT EQUAL UNION ONDA 1""",,,150000
364,ONDA,STRAIGHT UNEQUAL UNION ONDA S1620 X 1216,,,53750
365,ONDA,STRAIGHT UNEQUAL UNION ONDA S2025 X 1216,,,85250
366,ONDA,STRAIGHT UNEQUAL UNION ONDA S2025 X 1620,,,89750
367,ONDA,"TEE 1"" ONDA (W3)",120,12,98000
368,ONDA,"TEE BRASS CHROME M X F ONDA 1/2""",240,12,61250
369,ONDA,"TEE BRASS CHROME ONDA 1/2""",360,30,74000
370,ONDA,"TEE OTOMATIS ONDA (FOUR WAY 1"")",120,20,103000
371,ONDA,"TEE UNEQUAL ONDA T1620 X 1/2"" X 1620",,,93750
372,ONDA,"TUSEN KLEP ONDA 1/2"" LONG",120,10,53750
373,ONDA,"TUSEN KLEP ONDA 3/4"" LONG (R)",120,15,75000
374,ONDA,"TUSEN KLEP ONDA 1"" (R)",90,15,104000
375,ONDA,"TUSEN KLEP ONDA 1-1/4""",36,6,186500
376,ONDA,"TUSEN KLEP ONDA 1-1/2""",24,8,334250
377,ONDA,"TUSEN KLEP ONDA 2""",36,6,489250
378,ONDA,"TUSEN KLEP ONDA 2-1/2""",18,1,915250
379,ONDA,"TUSEN KLEP ONDA 3""",12,1,1000250
380,ONDA,"TUSEN KLEP ONDA 4""",6,1,1949750
381,ONDA,"TUSEN KLEP PERRUNO 1/2""",168,14,40500
382,ONDA,"TUSEN KLEP PERRUNO 3/4""",96,12,50250
383,ONDA,"TUSEN KLEP PERRUNO 1""",80,8,74000
384,ONDA,"TUSEN KLEP PERRUNO 1-1/4""",36,6,114000
385,ONDA,"TUSEN KLEP PERRUNO 1-1/2""",24,8,158500
386,ONDA,"TUSEN KLEP PERRUNO 2""",36,2,258000
387,ONDA,"UHC 1"" - UNIVERSAL HOSE COUPLING",,,86500
388,ONDA,UNEQUAL ELBOW ONDA L1620 X 1216,,,61750
389,ONDA,"V 625 C ONDA 1/2""",45,3,181750
390,ONDA,"V 627 CA ONDA 1/2""",45,3,253250
391,ONDA,"V 627 CB ONDA 1/2""",45,3,246000
392,ONDA,"V 627 LA ONDA 1/2""",45,3,253250
393,ONDA,"V 627 SU ONDA 1/2""",45,3,231000
394,ONDA,"V 627 TG ONDA 1/2""",45,3,246000
395,ONDA,"V 628 TLG ONDA 1/2""",60,4,172000
396,ONDA,"V 629 TLG ONDA 1/2""",60,4,168500
397,ONDA,"V 631 GCA ONDA 1/2""",24,2,138750
398,ONDA,"V 632 CA ONDA 1/2""",64,4,122000
399,ONDA,"V 633 CB ONDA 1/2""",60,4,217250
400,ONDA,"V 633 CS ONDA 1/2""",60,4,198000
401,ONDA,"V 633 F ONDA 1/2""",60,4,217500
402,ONDA,"V 633 SU ONDA 1/2""",60,4,198000
