No,Brand,Nama barang,Isi per Dus,Isi per Kotak,Harga
479,ONDA,"GATE VALVE CAST IRON ONDA 2"" ( 10 K )",1,,
480,ONDA,"GATE VALVE CAST IRON ONDA 2-1/2"" ( 10 K )",1,,
481,ONDA,"GATE VALVE CAST IRON ONDA 3"" ( 10 K )",1,,
482,ONDA,"GATE VALVE CAST IRON ONDA 4"" ( 10 K )",1,,
483,ONDA,"GATE VALVE CAST IRON ONDA 5"" ( 10 K )",1,,
484,,,,,
485,,,,,
486,,,,,
487,PVC (TANPA MEREK),"KNIE 1/2""",,,
488,PVC (TANPA MEREK),"KNIE 3/4""",,,
489,PVC (TANPA MEREK),"KNIE 1""",,,
490,PVC (TANPA MEREK),"KNIE 1 1/4""",,,
491,PVC (TANPA MEREK),"KNIE 1 1/2""",,,
492,PVC (TANPA MEREK),"KNIE 2""",,,
493,PVC (TANPA MEREK),"KNIE 2 1/2""",,,
494,PVC (TANPA MEREK),"KNIE 3""",,,
495,PVC (TANPA MEREK),"KNIE 4""",,,
496,PVC (TANPA MEREK),"KNIE 5""",,,
497,PVC (TANPA MEREK),"KNIE 6""",,,
498,PVC (TANPA MEREK),"KNIE 8""",,,
499,PVC (TANPA MEREK),"SOCK 1/2""",,,
500,PVC (TANPA MEREK),"SOCK 3/4""",,,
501,PVC (TANPA MEREK),"SOCK 1""",,,
502,PVC (TANPA MEREK),"SOCK 1 1/4""",,,
503,PVC (TANPA MEREK),"SOCK 1 1/2""",,,
504,PVC (TANPA MEREK),"SOCK 2""",,,
505,PVC (TANPA MEREK),"SOCK 2 1/2""",,,
506,PVC (TANPA MEREK),"SOCK 3""",,,
507,PVC (TANPA MEREK),"SOCK 4""",,,
508,PVC (TANPA MEREK),"SOCK 5""",,,
509,PVC (TANPA MEREK),"SOCK 6""",,,
510,PVC (TANPA MEREK),"SOCK 8""",,,
511,PVC (TANPA MEREK),"SOCK 10""",,,
512,PVC (TANPA MEREK),"TEE 1/2""",,,
513,PVC (TANPA MEREK),"TEE 3/4""",,,
514,PVC (TANPA MEREK),"TEE 1""",,,
515,PVC (TANPA MEREK),"TEE 1 1/4""",,,
516,PVC (TANPA MEREK),"TEE 1 1/2""",,,
517,PVC (TANPA MEREK),"TEE 2""",,,
518,PVC (TANPA MEREK),"TEE 2 1/2""",,,
519,PVC (TANPA MEREK),"TEE 3""",,,
520,PVC (TANPA MEREK),"TEE 4""",,,
521,PVC (TANPA MEREK),"TEE 5""",,,
522,PVC (TANPA MEREK),"TEE 6""",,,
523,PVC (TANPA MEREK),"SDL 1/2""",,,
524,PVC (TANPA MEREK),"SDL 3/4""",,,
525,PVC (TANPA MEREK),"SDL 1""",,,
526,PVC (TANPA MEREK),"SDL 1 1/4""",,,
527,PVC (TANPA MEREK),"SDL 1 1/2""",,,
528,PVC (TANPA MEREK),"SDL 2""",,,
529,PVC (TANPA MEREK),"SDL 2 1/2""",,,
530,PVC (TANPA MEREK),"SDL 3""",,,
531,PVC (TANPA MEREK),"SDL 4""",,,
532,PVC (TANPA MEREK),"SDD 1/2""",,,
533,PVC (TANPA MEREK),"SDD 3/4""",,,
534,PVC (TANPA MEREK),"SDD 1""",,,
535,PVC (TANPA MEREK),"SDD 1 1/4""",,,
536,PVC (TANPA MEREK),"SDD 1 1/2""",,,
537,PVC (TANPA MEREK),"SDD 2""",,,
538,PVC (TANPA MEREK),"SDD 2 1/2""",,,
539,PVC (TANPA MEREK),"SDD 3""",,,
540,PVC (TANPA MEREK),"SDD 4""",,,
541,PVC (TANPA MEREK),"DOP 1/2""",,,
542,PVC (TANPA MEREK),"DOP 3/4""",,,
543,PVC (TANPA MEREK),"DOP 1""",,,
544,PVC (TANPA MEREK),"DOP 1 1/4""",,,
545,PVC (TANPA MEREK),"DOP 1 1/2""",,,
546,PVC (TANPA MEREK),"DOP 2""",,,
547,PVC (TANPA MEREK),"DOP 2 1/2""",,,
548,PVC (TANPA MEREK),"DOP 3""",,,
549,PVC (TANPA MEREK),"DOP 4""",,,
550,PVC (TANPA MEREK),"DOP 5""",,,
551,PVC (TANPA MEREK),"DOP 6""",,,
552,PVC (TANPA MEREK),"DOP 8""",,,
553,PVC (TANPA MEREK),"DOP 10""",,,
554,PVC (TANPA MEREK),"PLUG 1/2""",,,
555,PVC (TANPA MEREK),"PLUG 3/4""",,,
556,PVC (TANPA MEREK),"PLUG 1""",,,
557,PVC (TANPA MEREK),"KENI 45 2""",,,
558,PVC (TANPA MEREK),"KENI 45 3""",,,
559,PVC (TANPA MEREK),"KENI 45 4""",,,
560,PVC (TANPA MEREK),"KENI 45 6""",,,
561,PVC (TANPA MEREK),"V.SOCK 3/4"" X 1/2""",,,
562,PVC (TANPA MEREK),"V.SOCK 1"" X 1/2""",,,
563,PVC (TANPA MEREK),"V.SOCK 1"" X 3/4""",,,
564,PVC (TANPA MEREK),"V.SOCK 1 1/4"" X 1/2""",,,
565,PVC (TANPA MEREK),"V.SOCK 1 1/4"" X 3/4""",,,
566,PVC (TANPA MEREK),"V.SOCK 1 1/4"" X 1""",,,
567,PVC (TANPA MEREK),"V.SOCK 1 1/2"" X 1/2""",,,
568,PVC (TANPA MEREK),"V.SOCK 1 1/2"" X 3/4""",,,
569,PVC (TANPA MEREK),"V.SOCK 1 1/2"" X 1""",,,
570,PVC (TANPA MEREK),"V.SOCK 1 1/2"" X 1 1/4""",,,
571,PVC (TANPA MEREK),"V.SOCK 2"" X 1/2""",,,
572,PVC (TANPA MEREK),"V.SOCK 2"" X 3/4""",,,
573,PVC (TANPA MEREK),"V.SOCK 2"" X 1""",,,
574,PVC (TANPA MEREK),"V.SOCK 2"" X 1 1/4""",,,
575,PVC (TANPA MEREK),"V.SOCK 2"" X 1 1/2""",,,
576,PVC (TANPA MEREK),"V.SOCK 2 1/2"" X 1""",,,
577,PVC (TANPA MEREK),"V.SOCK 2 1/2"" X 1 1/2""",,,
578,PVC (TANPA MEREK),"V.SOCK 2 1/2"" X 2""",,,
579,PVC (TANPA MEREK),"V.SOCK 3"" X 1""",,,
580,PVC (TANPA MEREK),"V.SOCK 3"" X 1 1/2""",,,
581,PVC (TANPA MEREK),"V.SOCK 3"" X 2""",,,
582,PVC (TANPA MEREK),"V.SOCK 3"" X 2 1/2""",,,
583,PVC (TANPA MEREK),"V.SOCK 4"" X 1 1/2""",,,
584,PVC (TANPA MEREK),"V.SOCK 4"" X 2""",,,
585,PVC (TANPA MEREK),"V.SOCK 4"" X 2 1/2""",,,
586,PVC (TANPA MEREK),"V.SOCK 4"" X 3""",,,
587,PVC (TANPA MEREK),"V.SOCK 5"" X 3""",,,
588,PVC (TANPA MEREK),"V.SOCK 5"" X 4""",,,
589,PVC (TANPA MEREK),"V.SOCK 6"" X 3""",,,
590,PVC (TANPA MEREK),"V.SOCK 6"" X 4""",,,
591,PVC (TANPA MEREK),"V.SOCK 6"" X 5""",,,
592,PVC (TANPA MEREK),"V.TEE 3/4"" X 1/2""",,,
593,PVC (TANPA MEREK),"V.TEE 1"" X 1/2""",,,
594,PVC (TANPA MEREK),"V.TEE 1"" X 3/4""",,,
595,PVC (TANPA MEREK),"V.TEE 1 1/4"" X 1/2""",,,
596,PVC (TANPA MEREK),"V.TEE 1 1/4"" X 3/4""",,,
597,PVC (TANPA MEREK),"V.TEE 1 1/4"" X 1""",,,
598,PVC (TANPA MEREK),"V.TEE 1 1/2"" X 1/2""",,,
599,PVC (TANPA MEREK),"V.TEE 1 1/2"" X 3/4""",,,
600,PVC (TANPA MEREK),"V.TEE 1 1/2"" X 1""",,,
601,PVC (TANPA MEREK),"V.TEE 1 1/2"" X 1 1/4""",,,
602,PVC (TANPA MEREK),"V.TEE 2"" X 1/2""",,,
603,PVC (TANPA MEREK),"V.TEE 2"" X 3/4""",,,
604,PVC (TANPA MEREK),"V.TEE 2"" X 1""",,,
605,PVC (TANPA MEREK),"V.TEE 2"" X 1 1/4""",,,
606,PVC (TANPA MEREK),"V.TEE 2"" X 1 1/2""",,,
607,PVC (TANPA MEREK),"V.TEE 2 1/2"" X 1""",,,
608,PVC (TANPA MEREK),"V.TEE 2 1/2"" X 1 1/2""",,,
609,PVC (TANPA MEREK),"V.TEE 2 1/2"" X 2""",,,
610,PVC (TANPA MEREK),"V.TEE 3"" X 1""",,,
611,PVC (TANPA MEREK),"V.TEE 3"" X 1 1/2""",,,
612,PVC (TANPA MEREK),"V.TEE 3"" X 2""",,,
613,PVC (TANPA MEREK),"V.TEE 3"" X 2 1/2""",,,
614,PVC (TANPA MEREK),"V.TEE 4"" X 1 1/2""",,,
615,PVC (TANPA MEREK),"V.TEE 4"" X 2""",,,
616,PVC (TANPA MEREK),"V.TEE 4"" X 2 1/2""",,,
617,PVC (TANPA MEREK),"V.TEE 4"" X 3""",,,
618,PVC JAYA (JA),"V.TEE 5"" X 3""",,,
619,PVC JAYA (JA),"V.TEE 5"" X 4""",,,
620,PVC JAYA (JA),"V.TEE 6"" X 3""",,,
621,PVC JAYA (JA),"V.TEE 6"" X 4""",,,
622,PVC JAYA (JA),"V.TEE 6"" X 5""",,,
623,PVC JAYA (JA),"V.RING 3/4"" X 1/2""",,,
624,PVC JAYA (JA),"V.RING 1"" X 1/2""",,,
625,PVC JAYA (JA),"V.RING 1"" X 3/4""",,,
626,PVC JAYA (JA),"SDD 3/4"" X 1/2""",,,
627,PVC JAYA (JA),"SDD 1"" X 1/2""",,,
628,PVC JAYA (JA),"SDD 1"" X 3/4""",,,
629,PVC JAYA (JA),"SDL 3/4"" X 1/2""",,,
630,PVC JAYA (JA),"SDL 1"" X 1/2""",,,
631,PVC JAYA (JA),"SDL 1"" X 3/4""",,,
632,PVC JAYA (JA),"KDD 3/4"" X 1/2""",,,
633,PVC JAYA (JA),"KDD 1"" X 1/2""",,,
634,PVC JAYA (JA),"KDD 1"" X 3/4""",,,
635,PVC JAYA (JA),"C.O 3""",,,
636,PVC JAYA (JA),"C.O 4""",,,
637,PVC JAYA (JA),"TDD 1/2""",,,
638,PVC JAYA (JA),"TDD 3/4""",,,
639,PVC JAYA (JA),"KDD 1/2""",,,
640,PVC JAYA (JA),"KDD 3/4""",,,
641,PVC JAYA (JA),"KDD 1""",,,
642,PVC JAYA (JA),"UNION SOCK 3/4""",,,
643,PVC JAYA (JA),"UNION SOCK 1""",,,
644,PVC JAYA (JA),"DOP DRAT 1/2""",,,
645,PVC JAYA (JA),"DOP DRAT 3/4""",,,
646,PVC JAYA (JA),"DOP DRAT 1""",,,
647,PVC JAYA (JA),"KNIE 1/2"" JA",,,
648,PVC JAYA (JA),"KNIE 3/4"" JA",,,
649,PVC JAYA (JA),"KNIE 1"" JA",,,
650,PVC JAYA (JA),"KNIE 1 1/4"" JA",,,
651,PVC JAYA (JA),"KNIE 1 1/2"" JA",,,
652,PVC JAYA (JA),"KNIE 2"" JA",,,
653,PVC JAYA (JA),"KNIE 2 1/2"" JA",,,
654,PVC JAYA (JA),"KNIE 3"" JA",,,
655,PVC JAYA (JA),"KNIE 4"" JA",,,
656,PVC JAYA (JA),"KNIE 5"" JA",,,
657,PVC JAYA (JA),"KNIE 6"" JA",,,
658,PVC JAYA (JA),"KNIE 8"" JA",,,
659,PVC JAYA (JA),"SOCK 1/2"" JA",,,
660,PVC JAYA (JA),"SOCK 3/4"" JA",,,
661,PVC JAYA (JA),"SOCK 1"" JA",,,
662,PVC JAYA (JA),"SOCK 1 1/4"" JA",,,
663,PVC JAYA (JA),"SOCK 1 1/2"" JA",,,
664,PVC JAYA (JA),"SOCK 2"" JA",,,
665,PVC JAYA (JA),"SOCK 2 1/2"" JA",,,
666,PVC JAYA (JA),"SOCK 3"" JA",,,
667,PVC JAYA (JA),"SOCK 4"" JA",,,
668,PVC JAYA (JA),"SOCK 5"" JA",,,
669,PVC JAYA (JA),"SOCK 6"" JA",,,
670,PVC JAYA (JA),"SOCK 8"" JA",,,
671,PVC JAYA (JA),"SOCK 10"" JA",,,
672,PVC JAYA (JA),"TEE 1/2"" JA",,,
673,PVC JAYA (JA),"TEE 3/4"" JA",,,
674,PVC JAYA (JA),"TEE 1"" JA",,,
675,PVC JAYA (JA),"TEE 1 1/4"" JA",,,
676,PVC JAYA (JA),"TEE 1 1/2"" JA",,,
677,PVC JAYA (JA),"TEE 2"" JA",,,
678,PVC JAYA (JA),"TEE 2 1/2"" JA",,,
679,PVC JAYA (JA),"TEE 3"" JA",,,
680,PVC JAYA (JA),"TEE 4"" JA",,,
681,PVC JAYA (JA),"TEE 5"" JA",,,
682,PVC JAYA (JA),"TEE 6"" JA",,,
683,PVC JAYA (JA),"SDL 1/2"" JA",,,
684,PVC JAYA (JA),"SDL 3/4"" JA",,,
685,PVC JAYA (JA),"SDL 1"" JA",,,
686,PVC JAYA (JA),"SDL 1 1/4"" JA",,,
687,PVC JAYA (JA),"SDL 1 1/2"" JA",,,
688,PVC JAYA (JA),"SDL 2"" JA",,,
689,PVC JAYA (JA),"SDL 2 1/2"" JA",,,
690,PVC JAYA (JA),"SDL 3"" JA",,,
691,PVC JAYA (JA),"SDL 4"" JA",,,
692,PVC JAYA (JA),"SDD 1/2"" JA",,,
693,PVC JAYA (JA),"SDD 3/4"" JA",,,
694,PVC JAYA (JA),"SDD 1"" JA",,,
695,PVC JAYA (JA),"SDD 1 1/4"" JA",,,
696,PVC JAYA (JA),"SDD 1 1/2"" JA",,,
697,PVC JAYA (JA),"SDD 2"" JA",,,
698,PVC JAYA (JA),"SDD 2 1/2"" JA",,,
699,PVC JAYA (JA),"SDD 3"" JA",,,
700,PVC JAYA (JA),"SDD 4"" JA",,,
701,PVC JAYA (JA),"DOP 1/2"" JA",,,
702,PVC JAYA (JA),"DOP 3/4"" JA",,,
703,PVC JAYA (JA),"DOP 1"" JA",,,
704,PVC JAYA (JA),"DOP 1 1/4"" JA",,,
705,PVC JAYA (JA),"DOP 1 1/2"" JA",,,
706,PVC JAYA (JA),"DOP 2"" JA",,,
707,PVC JAYA (JA),"DOP 2 1/2"" JA",,,
708,PVC JAYA (JA),"DOP 3"" JA",,,
709,PVC JAYA (JA),"DOP 4"" JA",,,
710,PVC JAYA (JA),"DOP 5"" JA",,,
711,PVC JAYA (JA),"DOP 6"" JA",,,
712,PVC JAYA (JA),"DOP 8"" JA",,,
713,PVC JAYA (JA),"DOP 10"" JA",,,
714,PVC JAYA (JA),"PLUG 1/2"" JA",,,
715,PVC JAYA (JA),"PLUG 3/4"" JA",,,
716,PVC JAYA (JA),"PLUG 1"" JA",,,
717,PVC JAYA (JA),"KENI 45 2"" JA",,,
718,PVC JAYA (JA),"KENI 45 3"" JA",,,
719,PVC JAYA (JA),"KENI 45 4"" JA",,,
720,PVC JAYA (JA),"KENI 45 6"" JA",,,
721,PVC JAYA (JA),"V.SOCK 3/4"" X 1/2"" JA",,,
722,PVC JAYA (JA),"V.SOCK 1"" X 1/2"" JA",,,
723,PVC JAYA (JA),"V.SOCK 1"" X 3/4"" JA",,,
724,PVC JAYA (JA),"V.SOCK 1 1/4"" X 1/2"" JA",,,
725,PVC JAYA (JA),"V.SOCK 1 1/4"" X 3/4"" JA",,,
726,PVC JAYA (JA),"V.SOCK 1 1/4"" X 1"" JA",,,
727,PVC JAYA (JA),"V.SOCK 1 1/2"" X 1/2"" JA",,,
728,PVC JAYA (JA),"V.SOCK 1 1/2"" X 3/4"" JA",,,
729,PVC JAYA (JA),"V.SOCK 1 1/2"" X 1"" JA",,,
730,PVC JAYA (JA),"V.SOCK 1 1/2"" X 1 1/4"" JA",,,
731,PVC JAYA (JA),"V.SOCK 2"" X 1/2"" JA",,,
732,PVC JAYA (JA),"V.SOCK 2"" X 3/4"" JA",,,
733,PVC JAYA (JA),"V.SOCK 2"" X 1"" JA",,,
734,PVC JAYA (JA),"V.SOCK 2"" X 1 1/4"" JA",,,
735,PVC JAYA (JA),"V.SOCK 2"" X 1 1/2"" JA",,,
736,PVC JAYA (JA),"V.SOCK 2 1/2"" X 1"" JA",,,
737,PVC JAYA (JA),"V.SOCK 2 1/2"" X 1 1/2"" JA",,,
738,PVC JAYA (JA),"V.SOCK 2 1/2"" X 2"" JA",,,
739,PVC JAYA (JA),"V.SOCK 3"" X 1"" JA",,,
740,PVC JAYA (JA),"V.SOCK 3"" X 1 1/2"" JA",,,
741,PVC JAYA (JA),"V.SOCK 3"" X 2"" JA",,,
742,PVC JAYA (JA),"V.SOCK 3"" X 2 1/2"" JA",,,
743,PVC JAYA (JA),"V.SOCK 4"" X 1 1/2"" JA",,,
744,PVC JAYA (JA),"V.SOCK 4"" X 2"" JA",,,
745,PVC JAYA (JA),"V.SOCK 4"" X 2 1/2"" JA",,,
746,PVC JAYA (JA),"V.SOCK 4"" X 3"" JA",,,
747,PVC JAYA (JA),"V.SOCK 5"" X 3"" JA",,,
748,PVC JAYA (JA),"V.SOCK 5"" X 4"" JA",,,
749,PVC JAYA (JA),"V.SOCK 6"" X 3"" JA",,,
750,PVC JAYA (JA),"V.SOCK 6"" X 4"" JA",,,
751,PVC JAYA (JA),"V.SOCK 6"" X 5"" JA",,,
752,PVC JAYA (JA),"V.TEE 3/4"" X 1/2"" JA",,,
753,PVC JAYA (JA),"V.TEE 1"" X 1/2"" JA",,,
754,PVC JAYA (JA),"V.TEE 1"" X 3/4"" JA",,,
755,PVC JAYA (JA),"V.TEE 1 1/4"" X 1/2"" JA",,,
756,PVC JAYA (JA),"V.TEE 1 1/4"" X 3/4"" JA",,,
757,PVC JAYA (JA),"V.TEE 1 1/4"" X 1"" JA",,,
758,PVC JAYA (JA),"V.TEE 1 1/2"" X 1/2"" JA",,,
759,PVC JAYA (JA),"V.TEE 1 1/2"" X 3/4"" JA",,,
760,PVC JAYA (JA),"V.TEE 1 1/2"" X 1"" JA",,,
761,PVC JAYA (JA),"V.TEE 1 1/2"" X 1 1/4"" JA",,,
762,PVC JAYA (JA),"V.TEE 2"" X 1/2"" JA",,,
763,PVC JAYA (JA),"V.TEE 2"" X 3/4"" JA",,,
764,PVC JAYA (JA),"V.TEE 2"" X 1"" JA",,,
765,PVC JAYA (JA),"V.TEE 2"" X 1 1/4"" JA",,,
766,PVC JAYA (JA),"V.TEE 2"" X 1 1/2"" JA",,,
767,PVC JAYA (JA),"V.TEE 2 1/2"" X 1"" JA",,,
768,PVC JAYA (JA),"V.TEE 2 1/2"" X 1 1/2"" JA",,,
769,PVC JAYA (JA),"V.TEE 2 1/2"" X 2"" JA",,,
770,PVC JAYA (JA),"V.TEE 3"" X 1"" JA",,,
771,PVC JAYA (JA),"V.TEE 3"" X 1 1/2"" JA",,,
772,PVC JAYA (JA),"V.TEE 3"" X 2"" JA",,,
773,PVC JAYA (JA),"V.TEE 3"" X 2 1/2"" JA",,,
774,PVC JAYA (JA),"V.TEE 4"" X 1 1/2"" JA",,,
775,PVC JAYA (JA),"V.TEE 4"" X 2"" JA",,,
776,PVC JAYA (JA),"V.TEE 4"" X 2 1/2"" JA",,,
777,PVC JAYA (JA),"V.TEE 4"" X 3"" JA",,,
778,PVC JAYA (JA),"V.TEE 5"" X 3"" JA",,,
779,PVC JAYA (JA),"V.TEE 5"" X 4"" JA",,,
780,PVC JAYA (JA),"V.TEE 6"" X 3"" JA",,,
781,PVC JAYA (JA),"V.TEE 6"" X 4"" JA",,,
782,PVC JAYA (JA),"V.TEE 6"" X 5"" JA",,,
783,PVC JAYA (JA),"V.RING 3/4"" X 1/2"" JA",,,
784,PVC JAYA (JA),"V.RING 1"" X 1/2"" JA",,,
785,PVC JAYA (JA),"V.RING 1"" X 3/4"" JA",,,
786,PVC JAYA (JA),"SDD 3/4"" X 1/2"" JA",,,
787,PVC JAYA (JA),"SDD 1"" X 1/2"" JA",,,
788,PVC JAYA (JA),"SDD 1"" X 3/4"" JA",,,
789,PVC JAYA (JA),"SDL 3/4"" X 1/2"" JA",,,
790,PVC JAYA (JA),"SDL 1"" X 1/2"" JA",,,
791,PVC JAYA (JA),"SDL 1"" X 3/4"" JA",,,
792,PVC JAYA (JA),"KDD 3/4"" X 1/2"" JA",,,
793,PVC JAYA (JA),"KDD 1"" X 1/2"" JA",,,
794,PVC JAYA (JA),"KDD 1"" X 3/4"" JA",,,
795,PVC JAYA (JA),"C.O 3"" JA",,,
796,PVC JAYA (JA),"C.O 4"" JA",,,
797,PVC JAYA (JA),"TDD 1/2"" JA",,,
798,PVC JAYA (JA),"TDD 3/4"" JA",,,
799,PVC JAYA (JA),"KDD 1/2"" JA",,,
800,PVC JAYA (JA),"KDD 3/4"" JA",,,
801,PVC JAYA (JA),"KDD 1"" JA",,,
802,PVC JAYA (JA),"UNION SOCK 3/4"" JA",,,
803,PVC JAYA (JA),"UNION SOCK 1"" JA",,,
804,PVC JAYA (JA),"DOP DRAT 1/2"" JA",,,
805,PVC JAYA (JA),"DOP DRAT 3/4"" JA",,,
806,PVC JAYA (JA),"DOP DRAT 1"" JA",,,
807,PVC (SKT),"KNIE 1/2"" SKT",,,
808,PVC (SKT),"KNIE 3/4"" SKT",,,
809,PVC (SKT),"KNIE 1"" SKT",,,
810,PVC (SKT),"KNIE 1 1/4"" SKT",,,
811,PVC (SKT),"KNIE 1 1/2"" SKT",,,
812,PVC (SKT),"KNIE 2"" SKT",,,
813,PVC (SKT),"KNIE 2 1/2"" SKT",,,
814,PVC (SKT),"KNIE 3"" SKT",,,
815,PVC (SKT),"KNIE 4"" SKT",,,
816,PVC (SKT),"KNIE 5"" SKT",,,
817,PVC (SKT),"KNIE 6"" SKT",,,
818,PVC (SKT),"KNIE 8"" SKT",,,
819,PVC (SKT),"SOCK 1/2"" SKT",,,
820,PVC (SKT),"SOCK 3/4"" SKT",,,
821,PVC (SKT),"SOCK 1"" SKT",,,
822,PVC (SKT),"SOCK 1 1/4"" SKT",,,
823,PVC (SKT),"SOCK 1 1/2"" SKT",,,
824,PVC (SKT),"SOCK 2"" SKT",,,
825,PVC (SKT),"SOCK 2 1/2"" SKT",,,
826,PVC (SKT),"SOCK 3"" SKT",,,
827,PVC (SKT),"SOCK 4"" SKT",,,
828,PVC (SKT),"SOCK 5"" SKT",,,
829,PVC (SKT),"SOCK 6"" SKT",,,
830,PVC (SKT),"SOCK 8"" SKT",,,
831,PVC (SKT),"SOCK 10"" SKT",,,
832,PVC (SKT),"TEE 1/2"" SKT",,,
833,PVC (SKT),"TEE 3/4"" SKT",,,
834,PVC (SKT),"TEE 1"" SKT",,,
835,PVC (SKT),"TEE 1 1/4"" SKT",,,
836,PVC (SKT),"TEE 1 1/2"" SKT",,,
837,PVC (SKT),"TEE 2"" SKT",,,
838,PVC (SKT),"TEE 2 1/2"" SKT",,,
839,PVC (SKT),"TEE 3"" SKT",,,
840,PVC (SKT),"TEE 4"" SKT",,,
841,PVC (SKT),"TEE 5"" SKT",,,
842,PVC (SKT),"TEE 6"" SKT",,,
843,PVC (SKT),"SDL 1/2"" SKT",,,
844,PVC (SKT),"SDL 3/4"" SKT",,,
845,PVC (SKT),"SDL 1"" SKT",,,
846,PVC (SKT),"SDL 1 1/4"" SKT",,,
847,PVC (SKT),"SDL 1 1/2"" SKT",,,
848,PVC (SKT),"SDL 2"" SKT",,,
849,PVC (SKT),"SDL 2 1/2"" SKT",,,
850,PVC (SKT),"SDL 3"" SKT",,,
851,PVC (SKT),"SDL 4"" SKT",,,
852,PVC (SKT),"SDD 1/2"" SKT",,,
853,PVC (SKT),"SDD 3/4"" SKT",,,
854,PVC (SKT),"SDD 1"" SKT",,,
855,PVC (SKT),"SDD 1 1/4"" SKT",,,
856,PVC (SKT),"SDD 1 1/2"" SKT",,,
857,PVC (SKT),"SDD 2"" SKT",,,
858,PVC (SKT),"SDD 2 1/2"" SKT",,,
859,PVC (SKT),"SDD 3"" SKT",,,
860,PVC (SKT),"SDD 4"" SKT",,,
861,PVC (SKT),"DOP 1/2"" SKT",,,
862,PVC (SKT),"DOP 3/4"" SKT",,,
863,PVC (SKT),"DOP 1"" SKT",,,
864,PVC (SKT),"DOP 1 1/4"" SKT",,,
865,PVC (SKT),"DOP 1 1/2"" SKT",,,
866,PVC (SKT),"DOP 2"" SKT",,,
867,PVC (SKT),"DOP 2 1/2"" SKT",,,
868,PVC (SKT),"DOP 3"" SKT",,,
869,PVC (SKT),"DOP 4"" SKT",,,
870,PVC (SKT),"DOP 5"" SKT",,,
871,PVC (SKT),"DOP 6"" SKT",,,
872,PVC (SKT),"DOP 8"" SKT",,,
873,PVC (SKT),"DOP 10"" SKT",,,
874,PVC (SKT),"PLUG 1/2"" SKT",,,
875,PVC (SKT),"PLUG 3/4"" SKT",,,
876,PVC (SKT),"PLUG 1"" SKT",,,
877,PVC (SKT),"KENI 45 2"" SKT",,,
878,PVC (SKT),"KENI 45 3"" SKT",,,
879,PVC (SKT),"KENI 45 4"" SKT",,,
880,PVC (SKT),"KENI 45 6"" SKT",,,
881,PVC (SKT),"V.SOCK 3/4"" X 1/2"" SKT",,,
882,PVC (SKT),"V.SOCK 1"" X 1/2"" SKT",,,
883,PVC (SKT),"V.SOCK 1"" X 3/4"" SKT",,,
884,PVC (SKT),"V.SOCK 1 1/4"" X 1/2"" SKT",,,
885,PVC (SKT),"V.SOCK 1 1/4"" X 3/4"" SKT",,,
886,PVC (SKT),"V.SOCK 1 1/4"" X 1"" SKT",,,
887,PVC (SKT),"V.SOCK 1 1/2"" X 1/2"" SKT",,,
888,PVC (SKT),"V.SOCK 1 1/2"" X 3/4"" SKT",,,
889,PVC (SKT),"V.SOCK 1 1/2"" X 1"" SKT",,,
890,PVC (SKT),"V.SOCK 1 1/2"" X 1 1/4"" SKT",,,
891,PVC (SKT),"V.SOCK 2"" X 1/2"" SKT",,,
892,PVC (SKT),"V.SOCK 2"" X 3/4"" SKT",,,
893,PVC (SKT),"V.SOCK 2"" X 1"" SKT",,,
894,PVC (SKT),"V.SOCK 2"" X 1 1/4"" SKT",,,
895,PVC (SKT),"V.SOCK 2"" X 1 1/2"" SKT",,,
896,PVC (SKT),"V.SOCK 2 1/2"" X 1"" SKT",,,
897,PVC (SKT),"V.SOCK 2 1/2"" X 1 1/2"" SKT",,,
898,PVC (SKT),"V.SOCK 2 1/2"" X 2"" SKT",,,
899,PVC (SKT),"V.SOCK 3"" X 1"" SKT",,,
900,PVC (SKT),"V.SOCK 3"" X 1 1/2"" SKT",,,
901,PVC (SKT),"V.SOCK 3"" X 2"" SKT",,,
902,PVC (SKT),"V.SOCK 3"" X 2 1/2"" SKT",,,
903,PVC (SKT),"V.SOCK 4"" X 1 1/2"" SKT",,,
904,PVC (SKT),"V.SOCK 4"" X 2"" SKT",,,
905,PVC (SKT),"V.SOCK 4"" X 2 1/2"" SKT",,,
906,PVC (SKT),"V.SOCK 4"" X 3"" SKT",,,
907,PVC (SKT),"V.SOCK 5"" X 3"" SKT",,,
908,PVC (SKT),"V.SOCK 5"" X 4"" SKT",,,
909,PVC (SKT),"V.SOCK 6"" X 3"" SKT",,,
910,PVC (SKT),"V.SOCK 6"" X 4"" SKT",,,
911,PVC (SKT),"V.SOCK 6"" X 5"" SKT",,,
912,PVC (SKT),"V.TEE 3/4"" X 1/2"" SKT",,,
913,PVC (SKT),"V.TEE 1"" X 1/2"" SKT",,,
914,PVC (SKT),"V.TEE 1"" X 3/4"" SKT",,,
915,PVC (SKT),"V.TEE 1 1/4"" X 1/2"" SKT",,,
916,PVC (SKT),"V.TEE 1 1/4"" X 3/4"" SKT",,,
917,PVC (SKT),"V.TEE 1 1/4"" X 1"" SKT",,,
918,PVC (SKT),"V.TEE 1 1/2"" X 1/2"" SKT",,,
919,PVC (SKT),"V.TEE 1 1/2"" X 3/4"" SKT",,,
920,PVC (SKT),"V.TEE 1 1/2"" X 1"" SKT",,,
921,PVC (SKT),"V.TEE 1 1/2"" X 1 1/4"" SKT",,,
